RaceID,season,round,race_name,driver_id,constructor_id,finish_position,is_dnf,safety_car_flag,qualifying_position,constructor_coef_rapm,recent_form_5,driver_constructor_synergy,constructor_wins_total,driver_coef_rapm,track_complexity,tire_compound_start,season_factor,avg_pit_stops_circuit,constructor_dnf_rate,grid_penalty,altitude_m
hamilton_2026_6,2026,6,Miami Grand Prix,hamilton,ferrari,6.0,False,1,6,3.163895217348746,8.8,-6.95,19.0,0.6714518084898562,0.5461030769819427,2.0,2026,1.6477943728098527,0.0406976744186046,0,7.0
colapinto_2026_6,2026,6,Miami Grand Prix,colapinto,alpine,7.0,False,1,8,-1.707451681972125,14.933333333333334,-15.5625,1.0,-1.7238800074863967,0.5461030769819427,2.0,2026,1.6477943728098527,0.0486725663716814,0,7.0
leclerc_2026_6,2026,6,Miami Grand Prix,leclerc,ferrari,8.0,False,1,3,3.163895217348746,4.933333333333334,-4.792307692307692,19.0,2.0211800966873064,0.5461030769819427,2.0,2026,1.6477943728098527,0.0406976744186046,0,7.0
sainz_2026_6,2026,6,Miami Grand Prix,sainz,williams,9.0,False,1,13,-2.464089130575294,6.466666666666667,-10.27777777777778,0.0,1.7430581562085834,0.5461030769819427,2.0,2026,1.6477943728098527,0.0495626822157434,0,7.0
albon_2026_6,2026,6,Miami Grand Prix,albon,williams,10.0,False,1,15,-2.464089130575294,11.8,-11.371428571428572,0.0,1.2109156298702817,0.5461030769819427,2.0,2026,1.6477943728098527,0.0495626822157434,0,7.0
bearman_2026_6,2026,6,Miami Grand Prix,bearman,haas,11.0,False,1,12,-2.7089837511112766,7.533333333333333,-10.681818181818182,0.0,1.463448432057158,0.5461030769819427,2.0,2026,1.6477943728098527,0.0494186046511627,0,7.0
bortoleto_2026_6,2026,6,Miami Grand Prix,bortoleto,sauber,12.0,False,1,21,-2.9272066045437106,13.6,-13.444444444444445,0.0,-0.2305153729084123,0.5461030769819427,2.0,2026,1.6477943728098527,0.0367647058823529,0,7.0
ocon_2026_6,2026,6,Miami Grand Prix,ocon,haas,13.0,False,1,14,-2.7089837511112766,12.0,-12.409090909090908,0.0,0.8661295886481036,0.5461030769819427,2.0,2026,1.6477943728098527,0.0494186046511627,0,7.0
driver_41_2026_2026_6,2026,6,Miami Grand Prix,driver_41_2026,unknown_2026,14.0,False,1,16,0.0,0.0,0.0,0.0,0.0,0.5461030769819427,2.0,2026,1.6477943728098527,0.0,0,7.0
alonso_2026_6,2026,6,Miami Grand Prix,alonso,aston_martin,15.0,False,1,17,-0.8090657766024288,9.866666666666667,-8.639344262295081,0.0,1.8303384543233945,0.5461030769819427,2.0,2026,1.6477943728098527,0.0177777777777777,0,7.0
driver_11_2026_2026_6,2026,6,Miami Grand Prix,driver_11_2026,unknown_2026,16.0,False,1,20,0.0,0.0,0.0,0.0,0.0,0.5461030769819427,2.0,2026,1.6477943728098527,0.0,0,7.0
stroll_2026_6,2026,6,Miami Grand Prix,stroll,aston_martin,17.0,False,1,18,-0.8090657766024288,14.333333333333334,-11.421052631578949,0.0,-0.7000409668586232,0.5461030769819427,2.0,2026,1.6477943728098527,0.0177777777777777,0,7.0
driver_77_2026_2026_6,2026,6,Miami Grand Prix,driver_77_2026,unknown_2026,18.0,False,1,19,0.0,0.0,0.0,0.0,0.0,0.5461030769819427,2.0,2026,1.6477943728098527,0.0,0,7.0
antonelli_2026_7,2026,7,Canadian Grand Prix,antonelli,mercedes,1.0,False,1,2,4.760011694264114,4.533333333333333,-7.842105263157895,55.0,-1.5999540096311955,0.4812132328185301,1.0,2026,1.5986521734199757,0.0203488372093023,0,7.0
hamilton_2026_7,2026,7,Canadian Grand Prix,hamilton,ferrari,2.0,False,1,5,3.163895217348746,8.8,-6.95,19.0,0.6714518084898562,0.4812132328185301,1.0,2026,1.5986521734199757,0.0406976744186046,0,7.0
driver_3_2026_2026_7,2026,7,Canadian Grand Prix,driver_3_2026,unknown_2026,3.0,False,1,6,0.0,0.0,0.0,0.0,0.0,0.4812132328185301,1.0,2026,1.5986521734199757,0.0,0,7.0
leclerc_2026_7,2026,7,Canadian Grand Prix,leclerc,ferrari,4.0,False,1,8,3.163895217348746,4.933333333333334,-4.792307692307692,19.0,2.0211800966873064,0.4812132328185301,1.0,2026,1.5986521734199757,0.0406976744186046,0,7.0
hadjar_2026_7,2026,7,Canadian Grand Prix,hadjar,rb,5.0,False,1,7,-0.3976997788432501,9.6,-10.55,0.0,0.0056392664574038,0.4812132328185301,1.0,2026,1.5986521734199757,0.0,0,7.0
colapinto_2026_7,2026,7,Canadian Grand Prix,colapinto,alpine,6.0,False,1,10,-1.707451681972125,14.933333333333334,-15.5625,1.0,-1.7238800074863967,0.4812132328185301,2.0,2026,1.5986521734199757,0.0486725663716814,0,7.0
lawson_2026_7,2026,7,Canadian Grand Prix,lawson,rb,7.0,False,1,12,-0.3976997788432501,10.6,-11.409090909090908,0.0,-0.7265870732436397,0.4812132328185301,2.0,2026,1.5986521734199757,0.0,0,7.0
gasly_2026_7,2026,7,Canadian Grand Prix,gasly,alpine,8.0,False,1,14,-1.707451681972125,14.066666666666666,-11.59322033898305,1.0,0.1835621517783473,0.4812132328185301,2.0,2026,1.5986521734199757,0.0486725663716814,0,7.0
sainz_2026_7,2026,7,Canadian Grand Prix,sainz,williams,9.0,False,1,15,-2.464089130575294,6.466666666666667,-10.27777777777778,0.0,1.7430581562085834,0.4812132328185301,4.0,2026,1.5986521734199757,0.0495626822157434,0,7.0
bearman_2026_7,2026,7,Canadian Grand Prix,bearman,haas,10.0,False,1,16,-2.7089837511112766,7.533333333333333,-10.681818181818182,0.0,1.463448432057158,0.4812132328185301,1.0,2026,1.5986521734199757,0.0494186046511627,0,7.0
piastri_2026_7,2026,7,Canadian Grand Prix,piastri,mclaren,11.0,False,1,4,1.9784306113959176,3.933333333333333,-5.703125,21.0,2.552069125286265,0.4812132328185301,4.0,2026,1.5986521734199757,0.0552325581395348,0,7.0
hulkenberg_2026_7,2026,7,Canadian Grand Prix,hulkenberg,sauber,12.0,False,1,11,-2.9272066045437106,10.066666666666666,-11.526315789473683,0.0,0.7834122337237496,0.4812132328185301,4.0,2026,1.5986521734199757,0.0367647058823529,0,7.0
bortoleto_2026_7,2026,7,Canadian Grand Prix,bortoleto,sauber,13.0,False,1,13,-2.9272066045437106,13.6,-13.444444444444445,0.0,-0.2305153729084123,0.4812132328185301,4.0,2026,1.5986521734199757,0.0367647058823529,0,7.0
ocon_2026_7,2026,7,Canadian Grand Prix,ocon,haas,14.0,False,1,17,-2.7089837511112766,12.0,-12.409090909090908,0.0,0.8661295886481036,0.4812132328185301,1.0,2026,1.5986521734199757,0.0494186046511627,0,7.0
stroll_2026_7,2026,7,Canadian Grand Prix,stroll,aston_martin,15.0,False,1,22,-0.8090657766024288,14.333333333333334,-11.421052631578949,0.0,-0.7000409668586232,0.4812132328185301,1.0,2026,1.5986521734199757,0.0177777777777777,0,7.0
driver_77_2026_2026_7,2026,7,Canadian Grand Prix,driver_77_2026,unknown_2026,16.0,False,1,21,0.0,0.0,0.0,0.0,0.0,0.4812132328185301,4.0,2026,1.5986521734199757,0.0,0,7.0
driver_41_2026_2026_7,2026,7,Canadian Grand Prix,driver_41_2026,unknown_2026,,False,1,9,0.0,0.0,0.0,0.0,0.0,0.4812132328185301,2.0,2026,1.5986521734199757,0.0,0,7.0
antonelli_2026_8,2026,8,Monaco Grand Prix,antonelli,mercedes,1.0,False,1,1,4.760011694264114,4.533333333333333,-7.842105263157895,55.0,-1.5999540096311955,0.4506762830968045,2.0,2026,1.5299371570490543,0.0203488372093023,0,406.0
hamilton_2026_8,2026,8,Monaco Grand Prix,hamilton,ferrari,2.0,False,1,3,3.163895217348746,8.8,-6.95,19.0,0.6714518084898562,0.4506762830968045,2.0,2026,1.5299371570490543,0.0406976744186046,0,406.0
gasly_2026_8,2026,8,Monaco Grand Prix,gasly,alpine,3.0,False,1,9,-1.707451681972125,14.066666666666666,-11.59322033898305,1.0,0.1835621517783473,0.4506762830968045,2.0,2026,1.5299371570490543,0.0486725663716814,0,406.0
hadjar_2026_8,2026,8,Monaco Grand Prix,hadjar,rb,4.0,False,1,5,-0.3976997788432501,9.6,-10.55,0.0,0.0056392664574038,0.4506762830968045,2.0,2026,1.5299371570490543,0.0,0,406.0
piastri_2026_8,2026,8,Monaco Grand Prix,piastri,mclaren,5.0,False,1,7,1.9784306113959176,3.933333333333333,-5.703125,21.0,2.552069125286265,0.4506762830968045,2.0,2026,1.5299371570490543,0.0552325581395348,0,406.0
lawson_2026_8,2026,8,Monaco Grand Prix,lawson,rb,6.0,False,1,10,-0.3976997788432501,10.6,-11.409090909090908,0.0,-0.7265870732436397,0.4506762830968045,2.0,2026,1.5299371570490543,0.0,0,406.0
driver_41_2026_2026_8,2026,8,Monaco Grand Prix,driver_41_2026,unknown_2026,7.0,False,1,15,0.0,0.0,0.0,0.0,0.0,0.4506762830968045,2.0,2026,1.5299371570490543,0.0,0,406.0
albon_2026_8,2026,8,Monaco Grand Prix,albon,williams,8.0,False,1,11,-2.464089130575294,11.8,-11.371428571428572,0.0,1.2109156298702817,0.4506762830968045,2.0,2026,1.5299371570490543,0.0495626822157434,0,406.0
ocon_2026_8,2026,8,Monaco Grand Prix,ocon,haas,9.0,False,1,17,-2.7089837511112766,12.0,-12.409090909090908,0.0,0.8661295886481036,0.4506762830968045,2.0,2026,1.5299371570490543,0.0494186046511627,0,406.0
alonso_2026_8,2026,8,Monaco Grand Prix,alonso,aston_martin,10.0,False,1,21,-0.8090657766024288,9.866666666666667,-8.639344262295081,0.0,1.8303384543233945,0.4506762830968045,2.0,2026,1.5299371570490543,0.0177777777777777,0,406.0
bortoleto_2026_8,2026,8,Monaco Grand Prix,bortoleto,sauber,11.0,False,1,16,-2.9272066045437106,13.6,-13.444444444444445,0.0,-0.2305153729084123,0.4506762830968045,1.0,2026,1.5299371570490543,0.0367647058823529,0,406.0
russell_2026_8,2026,8,Monaco Grand Prix,russell,mercedes,12.0,False,1,6,4.760011694264114,4.666666666666667,-5.011904761904762,55.0,0.1446739605129134,0.4506762830968045,2.0,2026,1.5299371570490543,0.0203488372093023,0,406.0
hulkenberg_2026_8,2026,8,Monaco Grand Prix,hulkenberg,sauber,13.0,False,1,13,-2.9272066045437106,10.066666666666666,-11.526315789473683,0.0,0.7834122337237496,0.4506762830968045,2.0,2026,1.5299371570490543,0.0367647058823529,0,406.0
colapinto_2026_8,2026,8,Monaco Grand Prix,colapinto,alpine,14.0,False,1,14,-1.707451681972125,14.933333333333334,-15.5625,1.0,-1.7238800074863967,0.4506762830968045,2.0,2026,1.5299371570490543,0.0486725663716814,0,406.0
driver_11_2026_2026_8,2026,8,Monaco Grand Prix,driver_11_2026,unknown_2026,15.0,False,1,18,0.0,0.0,0.0,0.0,0.0,0.4506762830968045,1.0,2026,1.5299371570490543,0.0,0,406.0
hamilton_2026_9,2026,9,Barcelona Grand Prix,hamilton,ferrari,1.0,False,1,2,3.163895217348746,8.8,-6.95,19.0,0.6714518084898562,0.290790703947054,2.0,2026,1.4803616790845893,0.0406976744186046,0,678.0
russell_2026_9,2026,9,Barcelona Grand Prix,russell,mercedes,2.0,False,1,1,4.760011694264114,4.666666666666667,-5.011904761904762,55.0,0.1446739605129134,0.290790703947054,2.0,2026,1.4803616790845893,0.0203488372093023,0,678.0
max_verstappen_2026_9,2026,9,Barcelona Grand Prix,max_verstappen,red_bull,3.0,False,1,4,2.460319891785691,1.6666666666666667,-2.564935064935065,74.0,4.537532083607752,0.290790703947054,2.0,2026,1.4803616790845893,0.0610465116279069,0,678.0
driver_3_2026_2026_9,2026,9,Barcelona Grand Prix,driver_3_2026,unknown_2026,4.0,False,1,5,0.0,0.0,0.0,0.0,0.0,0.290790703947054,2.0,2026,1.4803616790845893,0.0,0,678.0
